date,daily_kwh,maxtempC,mintempC,avgtempC,sunHour,uvIndex,humidity,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2020-07-06,0.0,28.0,24.0,26.0,1.0,6.0,95.0,8.0,1002.0,195.0,7.0,90.0,30.0,26.0,19.0,30.0,7,6,0,3,0,0
2020-07-07,1236.5,28.0,23.0,26.0,1.0,6.0,92.0,8.0,1005.0,225.0,6.0,81.0,29.0,26.0,20.0,29.0,7,7,1,3,0,0
2020-07-08,1223.5,29.0,25.0,27.0,5.0,6.0,77.0,4.0,1004.0,204.0,8.0,76.0,30.0,27.0,12.0,30.0,7,8,2,3,0,0
2020-07-09,1261.4,30.0,25.0,27.0,1.0,6.0,81.0,6.0,1000.0,121.0,8.0,87.0,30.0,27.0,13.0,30.0,7,9,3,3,0,0
2020-07-10,1248.2,29.0,25.0,26.0,1.0,6.0,85.0,5.0,1001.0,154.0,9.0,78.0,30.0,26.0,13.0,30.0,7,10,4,3,0,0
2020-07-11,1241.7,30.0,26.0,27.0,1.0,6.0,86.0,7.0,1005.0,176.0,10.0,84.0,31.0,27.0,12.0,31.0,7,11,5,3,1,0
2020-07-12,1220.4,36.0,25.0,31.0,14.0,8.0,68.0,10.0,1004.0,194.0,10.0,32.0,36.0,31.0,17.0,36.0,7,12,6,3,1,0
2020-07-13,1238.7,30.0,26.0,29.0,8.0,6.0,76.0,6.0,1006.0,114.0,10.0,60.0,33.0,29.0,17.0,33.0,7,13,0,3,0,0
2020-07-14,1204.2,28.0,25.0,26.0,1.0,6.0,81.0,7.0,1007.0,38.0,10.0,98.0,29.0,26.0,12.0,29.0,7,14,1,3,0,0
2020-07-15,1209.3,25.0,21.0,23.0,1.0,5.0,91.0,11.0,1006.0,60.0,8.0,99.0,26.0,23.0,21.0,26.0,7,15,2,3,0,0
2020-07-16,1208.3,24.0,21.0,23.0,1.0,5.0,96.0,8.0,1005.0,55.0,6.0,100.0,26.0,23.0,19.0,26.0,7,16,3,3,0,0
2020-07-17,1301.8,29.0,23.0,25.0,6.0,6.0,90.0,6.0,1005.0,92.0,8.0,85.0,28.0,25.0,10.0,28.0,7,17,4,3,0,0
2020-07-18,1226.0,34.0,25.0,30.0,13.0,6.0,74.0,6.0,1004.0,205.0,10.0,56.0,35.0,30.0,11.0,35.0,7,18,5,3,1,0
2020-07-19,1198.0,36.0,27.0,31.0,14.0,8.0,67.0,11.0,1002.0,175.0,10.0,35.0,37.0,31.0,17.0,37.0,7,19,6,3,1,0
