date,daily_kwh,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2020-07-06,0.0,28.0,24.0,26.0,95.0,1.0,6.0,8.0,1002.0,195.0,7.0,90.0,30.0,26.0,19.0,30.0,7,6,0,3,0,0
2020-07-07,531.0,28.0,23.0,26.0,92.0,1.0,6.0,8.0,1005.0,225.0,6.0,81.0,29.0,26.0,20.0,29.0,7,7,1,3,0,0
2020-07-08,575.0,29.0,25.0,27.0,77.0,5.0,6.0,4.0,1004.0,204.0,8.0,76.0,30.0,27.0,12.0,30.0,7,8,2,3,0,0
2020-07-09,460.0,30.0,25.0,27.0,81.0,1.0,6.0,6.0,1000.0,121.0,8.0,87.0,30.0,27.0,13.0,30.0,7,9,3,3,0,0
2020-07-10,481.0,29.0,25.0,26.0,85.0,1.0,6.0,5.0,1001.0,154.0,9.0,78.0,30.0,26.0,13.0,30.0,7,10,4,3,0,0
2020-07-11,563.0,30.0,26.0,27.0,86.0,1.0,6.0,7.0,1005.0,176.0,10.0,84.0,31.0,27.0,12.0,31.0,7,11,5,3,1,0
2020-07-12,628.0,36.0,25.0,31.0,68.0,14.0,8.0,10.0,1004.0,194.0,10.0,32.0,36.0,31.0,17.0,36.0,7,12,6,3,1,0
2020-07-13,607.0,30.0,26.0,29.0,76.0,8.0,6.0,6.0,1006.0,114.0,10.0,60.0,33.0,29.0,17.0,33.0,7,13,0,3,0,0
2020-07-14,607.0,28.0,25.0,26.0,81.0,1.0,6.0,7.0,1007.0,38.0,10.0,98.0,29.0,26.0,12.0,29.0,7,14,1,3,0,0
2020-07-15,561.0,25.0,21.0,23.0,91.0,1.0,5.0,11.0,1006.0,60.0,8.0,99.0,26.0,23.0,21.0,26.0,7,15,2,3,0,0
2020-07-16,495.0,24.0,21.0,23.0,96.0,1.0,5.0,8.0,1005.0,55.0,6.0,100.0,26.0,23.0,19.0,26.0,7,16,3,3,0,0
2020-07-17,544.0,29.0,23.0,25.0,90.0,6.0,6.0,6.0,1005.0,92.0,8.0,85.0,28.0,25.0,10.0,28.0,7,17,4,3,0,0
2020-07-18,561.0,34.0,25.0,30.0,74.0,13.0,6.0,6.0,1004.0,205.0,10.0,56.0,35.0,30.0,11.0,35.0,7,18,5,3,1,0
2020-07-19,496.0,36.0,27.0,31.0,67.0,14.0,8.0,11.0,1002.0,175.0,10.0,35.0,37.0,31.0,17.0,37.0,7,19,6,3,1,0
2020-07-20,506.0,26.0,25.0,26.0,88.0,1.0,6.0,5.0,1008.0,56.0,9.0,84.0,29.0,26.0,13.0,29.0,7,20,0,3,0,0
2020-07-21,524.0,32.0,25.0,28.0,79.0,13.0,6.0,4.0,1010.0,165.0,10.0,66.0,33.0,28.0,9.0,33.0,7,21,1,3,0,0
2020-07-22,522.0,36.0,26.0,31.0,69.0,13.0,7.0,7.0,1007.0,180.0,10.0,34.0,37.0,31.0,11.0,37.0,7,22,2,3,0,0
2020-07-23,517.0,37.0,28.0,32.0,68.0,12.0,7.0,11.0,1005.0,155.0,10.0,49.0,39.0,32.0,20.0,39.0,7,23,3,3,0,0
2020-07-24,522.0,27.0,22.0,25.0,87.0,3.0,6.0,6.0,1007.0,141.0,7.0,83.0,28.0,25.0,13.0,28.0,7,24,4,3,0,0
2020-07-25,518.0,29.0,21.0,25.0,67.0,9.0,6.0,4.0,1007.0,141.0,10.0,59.0,27.0,25.0,7.0,27.0,7,25,5,3,1,0
2020-07-26,562.0,28.0,24.0,26.0,77.0,4.0,6.0,6.0,1005.0,101.0,10.0,64.0,29.0,26.0,10.0,29.0,7,26,6,3,1,0
2020-07-27,607.0,30.0,25.0,28.0,86.0,8.0,6.0,6.0,1003.0,224.0,10.0,71.0,32.0,28.0,12.0,32.0,7,27,0,3,0,0
2020-07-28,610.0,34.0,26.0,30.0,73.0,6.0,6.0,5.0,1007.0,210.0,9.0,63.0,36.0,30.0,11.0,36.0,7,28,1,3,0,0
2020-07-29,529.0,34.0,27.0,30.0,75.0,9.0,6.0,4.0,1008.0,181.0,9.0,73.0,36.0,30.0,7.0,36.0,7,29,2,3,0,0
2020-07-30,472.0,33.0,28.0,30.0,71.0,9.0,7.0,7.0,1010.0,165.0,10.0,50.0,36.0,30.0,15.0,36.0,7,30,3,3,0,0
2020-07-31,477.0,34.0,28.0,30.0,69.0,12.0,7.0,11.0,1009.0,160.0,10.0,47.0,36.0,30.0,19.0,36.0,7,31,4,3,0,0
2020-08-01,580.0,36.0,27.0,31.0,65.0,13.0,8.0,12.0,1008.0,177.0,10.0,14.0,37.0,31.0,19.0,37.0,8,1,5,3,1,0
2020-08-02,629.0,37.0,28.0,32.0,63.0,13.0,8.0,12.0,1006.0,177.0,10.0,2.0,37.0,32.0,20.0,37.0,8,2,6,3,1,0
