date,daily_kwh,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2025-01-01,787.9052,12.0,2.0,7.0,61.0,11.0,3.0,9.0,1024.0,108.0,10.0,3.0,7.0,5.0,13.0,5.0,1,1,2,1,0,1
2025-01-02,504.4657,14.0,5.0,9.0,65.0,11.0,2.0,8.0,1025.0,58.0,10.0,13.0,9.0,7.0,13.0,7.0,1,2,3,1,0,0
2025-01-03,629.8657,12.0,3.0,7.0,60.0,10.0,2.0,10.0,1028.0,75.0,10.0,14.0,7.0,5.0,15.0,5.0,1,3,4,1,0,0
2025-01-04,773.3856,12.0,3.0,7.0,56.0,11.0,3.0,11.0,1027.0,111.0,10.0,35.0,7.0,5.0,16.0,5.0,1,4,5,1,1,0
2025-01-05,653.1572,14.0,6.0,9.0,61.0,9.0,2.0,10.0,1023.0,269.0,10.0,40.0,9.0,8.0,15.0,8.0,1,5,6,1,1,0
2025-01-06,538.6654,12.0,4.0,8.0,45.0,11.0,3.0,13.0,1025.0,226.0,10.0,0.0,8.0,6.0,19.0,6.0,1,6,0,1,0,0
2025-01-07,525.4652,9.0,1.0,5.0,36.0,11.0,2.0,10.0,1028.0,277.0,10.0,19.0,5.0,3.0,14.0,3.0,1,7,1,1,0,0
2025-01-08,522.8377,10.0,2.0,6.0,25.0,11.0,2.0,9.0,1027.0,242.0,10.0,57.0,6.0,4.0,14.0,4.0,1,8,2,1,0,0
2025-01-09,550.0656,6.0,1.0,3.0,39.0,10.0,1.0,17.0,1033.0,273.0,10.0,29.0,3.0,-0.0,24.0,-0.0,1,9,3,1,0,0
2025-01-10,662.5057,6.0,-2.0,2.0,35.0,10.0,1.0,12.0,1037.0,255.0,10.0,23.0,2.0,-2.0,18.0,-2.0,1,10,4,1,0,0
